REGISTARSKI_BROJ;DATUM_UPISA;NAZIV;SKRACENI_NAZIV;SJEDISTE;OSOBE;OIB;STATUS
312;26.08.16;AKTIVNI NEZAVISNI UMIROVLJENICI;ANU;Trg Ante Starčevića, pothodnik, lokal  16, Osijek;Šerić Drago - PREDSJEDNIK - predstavlja i zastupa: Babić Zorislav - ZAMJENIK PREDSJEDNIKA - predstavlja i zastupa;71241450053;AKTIVNA
313;03.10.16;SNAGA - STRANKA NARODNOG I GRAĐANSKOG AKTIVIZMA;SNAGA;Trg dr. Franje Tuđmana 5, Zaprešić;Aleksić Goran - PREDSJEDNIK UPRAVNOG TIJELA - predstavlja i zastupa: Žiga Sandra - TAJNIK - predstavlja i zastupa;27316913311;AKTIVNA
314;20.10.16;HRVATSKA BUNJEVAČKA STRANKA;HBS;Podbilo 4, Krivi Put;Prpić Marko - PREDSJEDNIK - predstavlja i zastupa: Tomljanović Zlatko - GLAVNI TAJNIK - predstavlja i zastupa;40180184924;AKTIVNA
315;26.10.16;HRVATSKA STRANKA BRANITELJA I DOMOLJUBA;HSBID;Ribel 14, Rakitje;LUČIĆ TOMISLAV - PREDSJEDNIK - predstavlja i zastupa;21434973204;AKTIVNA
316;08.11.16;JEDINA OPCIJA;;Blage Zadre 21, Sesvete;Matić Matija - PREDSJEDNIK - predstavlja i zastupa;73127693764;AKTIVNA
317;10.11.16;DEMOKRATSKO SOCIJALNA STRANKA HRVATSKE;DSSH;Dr. Nemeca 16, Petrinja;Zlonoga Boris - PREDSJEDNIK - predstavlja i zastupa;72834945334;AKTIVNA
318;06.12.16;NEZAVISNA LISTA VIŠNJAN;NLV;Jože Šurana 1, Višnjan;Mattich Angelo - PREDSJEDNIK - predstavlja i zastupa;56181309379;AKTIVNA
319;16.01.17;UJEDINJENI HRVATSKI DOMOLJUBI;UHD;Franje Račkog 3, Đakovo;Bogdan Dražen - PREDSJEDNIK - predstavlja i zastupa: Mišić Jadranko - DOPREDSJEDNIK - predstavlja i zastupa;96352748844;AKTIVNA
321;22.02.17;NOVA LJEVICA;NL;Martićeva  42, Zagreb;Markovina Dragan - PREDSJEDNIK - predstavlja i zastupa;85098617057;AKTIVNA
322;23.02.17;DEMOKRATSKA LOKALNA STRANKA;DLS;Sv. Mihovila  60, Bročice;Klasan Vlado - PREDSJEDNIK - predstavlja i zastupa;61255994361;AKTIVNA
323;24.02.17;NADA;;Lazinska 62A, Zagreb;Volarić Ivan - ČLAN UPRAVNOG TIJELA - predstavlja i zastupa: Županić Boris - ČLAN UPRAVNOG TIJELA - predstavlja i zastupa: Cipar Igor - ČLAN UPRAVNOG TIJELA - predstavlja i zastupa: Bubalo Vedran - ČLAN UPRAVNOG TIJELA - predstavlja i zastupa: Glavaš Nikola - ČLAN UPRAVNOG TIJELA - predstavlja i zastupa;00352380702;AKTIVNA
324;27.02.17;SPLITSKA STRANKA;STS;Vetranićeva 2, Split;Baldasar Ivo  - PREDSJEDNIK - predstavlja i zastupa;84287047195;AKTIVNA
325;03.03.17;ZAGREB JE NAŠ!;;Matije Valjavca 8, Zagreb;Raukar-Gamulin Neda - koordinator - predstavlja i zastupa: Tomašević Tomislav - koordinator - predstavlja i zastupa;14514989418;AKTIVNA
326;07.03.17;MREŽA NEZAVISNIH LISTA;MREŽA;Antuna Nemčića 4a/I, Koprivnica;Koren Darko - PREDSJEDNIK - predstavlja i zastupa;82413060941;AKTIVNA
327;08.03.17;ZELENA LISTA;;Bukovac Gornji 39b, Zagreb;Matić Nenad - PREDSJEDNIK - predstavlja i zastupa;65414808749;AKTIVNA
328;20.03.17;GENERACIJA OBNOVE;GO;Ksavera Šandora Đalskog 44, Zagreb;Čirko Frano - PREDSJEDNIK - predstavlja i zastupa;22239132070;AKTIVNA
329;23.03.17;NEZAVISNA LISTA SANDRE ŠVALJEK;NLSŠ;Strojarska 14, Zagreb;Švaljek Sandra - PREDSJEDNIK - predstavlja i zastupa;36918136228;AKTIVNA
330;24.03.17;DAMIR BAJS NEZAVISNA LISTA;DAMIR BAJS NL;Dr. Ante Starčevića 9, Bjelovar;Bajs Damir - PREDSJEDNIK - predstavlja i zastupa;14460125805;AKTIVNA
331;03.04.17;BIRAJ BOLJE;;Vukovarska 10, Osijek;Šimičić Kristijan - PREDSJEDNIK - predstavlja i zastupa;45194762757;AKTIVNA
332;03.04.17;NEZAVISNA LISTA BOLJIH;NLB;Ulica kralja Tomislava 41a, Kloštar Ivanić;Lu
